

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.017  000.017: --- VIM STARTING ---
000.329  000.312: Allocated generic buffers
000.480  000.151: locale set
000.495  000.015: window checked
001.370  000.875: inits 1
001.381  000.011: parsing arguments
001.382  000.001: expanding arguments
001.392  000.010: shell init
001.534  000.142: Termcap init
001.543  000.009: inits 2
001.601  000.058: init highlight
001.773  000.123  000.123: sourcing /usr/share/vim/vimfiles/archlinux.vim
001.788  000.172  000.049: sourcing /etc/vimrc
001.880  000.015  000.015: sourcing /usr/share/vim/vim82/ftoff.vim
002.817  000.919  000.919: sourcing /home/dashie/.vim/autoload/plug.vim
007.808  000.029  000.029: sourcing /home/dashie/.vim/filetype.vim
008.216  000.033  000.033: sourcing /home/dashie/.vim/filetype.vim
008.280  000.006  000.006: sourcing /home/dashie/.vim/plugged/vim-polyglot/filetype.vim
011.862  000.019  000.019: sourcing /home/dashie/.vim/plugged/vim-openapi/ftdetect/openapi.vim
011.914  000.007  000.007: sourcing /home/dashie/.vim/plugged/vim-polyglot/ftdetect/polyglot.vim
011.962  000.022  000.022: sourcing /home/dashie/.vim/plugged/rust.vim/ftdetect/rust.vim
012.128  000.008  000.008: sourcing /home/dashie/.vim/plugged/vim-fugitive/ftdetect/fugitive.vim
012.174  000.007  000.007: sourcing /usr/share/vim/vimfiles/ftdetect/PKGBUILD.vim
012.194  000.013  000.013: sourcing /usr/share/vim/vimfiles/ftdetect/meson.vim
012.208  000.006  000.006: sourcing /usr/share/vim/vimfiles/ftdetect/pullrequest.vim
012.280  003.895  003.813: sourcing /usr/share/vim/vim82/filetype.vim
012.396  000.018  000.018: sourcing /home/dashie/.vim/plugged/vim-openapi/ftdetect/openapi.vim
012.440  000.007  000.007: sourcing /home/dashie/.vim/plugged/vim-polyglot/ftdetect/polyglot.vim
012.479  000.019  000.019: sourcing /home/dashie/.vim/plugged/rust.vim/ftdetect/rust.vim
012.632  000.006  000.006: sourcing /home/dashie/.vim/plugged/vim-fugitive/ftdetect/fugitive.vim
012.674  000.006  000.006: sourcing /usr/share/vim/vimfiles/ftdetect/PKGBUILD.vim
012.693  000.012  000.012: sourcing /usr/share/vim/vimfiles/ftdetect/meson.vim
